date,actions_lock_total,actions_give_total,actions_exit_total,actions_free_total,actions_open_total,actions_bite_total,actions_draw_total,actions_join_total,actions_shut_total,actions_wipe_total
2019-01-15,167,21,92,92,29,2,144,168,4,99
2019-01-16,415,263,113,107,276,8,407,415,18,127
2019-01-17,408,265,133,112,291,18,395,414,20,123
2019-01-01,102,24,36,32,22,0,123,102,6,40
2019-01-09,100,24,40,35,36,1,113,100,4,41
2019-01-10,334,25,161,130,42,15,203,344,17,179
2019-01-11,179,24,79,71,123,1,122,183,7,91
2019-01-18,230,142,78,73,156,11,229,233,8,78
2019-01-19,176,83,58,54,88,4,166,178,8,58
2019-01-20,152,41,73,67,48,12,127,155,12,77
2019-01-12,120,25,71,69,25,1,100,121,7,79
2019-01-13,194,27,135,116,29,18,105,205,8,172
2019-01-14,219,25,80,76,42,0,191,225,9,91
2019-02-25,242,35,87,88,50,0,201,241,8,105
2019-02-26,146,22,79,77,28,3,126,144,10,64
2019-02-27,203,22,94,89,34,3,165,205,3,117
2019-02-19,174,41,77,76,36,1,248,174,8,68
2019-02-20,173,37,83,83,32,2,212,171,10,77
2019-02-21,138,40,175,78,40,1,161,142,8,58
2019-02-03,88,23,56,52,27,1,97,89,6,56
2019-02-04,99,30,45,43,34,1,107,100,9,40
2019-02-05,110,29,38,35,30,0,95,108,8,40
2019-01-21,169,54,73,67,67,7,144,172,8,71
2019-01-22,176,48,56,51,56,2,154,181,8,44
2019-01-23,105,24,59,46,27,8,111,107,12,52
2019-02-22,188,45,72,71,46,1,219,189,11,59
2019-02-23,230,54,85,85,57,0,235,230,7,81
2019-02-24,387,34,223,199,49,16,348,394,14,212
2019-03-13,125,30,76,76,40,1,131,126,13,75
2019-03-14,112,35,65,65,42,0,113,113,16,66
2019-03-15,135,49,67,68,41,0,146,135,11,70
2019-01-31,122,40,68,65,38,3,108,125,9,72
2019-02-01,118,35,48,44,31,2,101,123,6,51
2019-02-02,97,21,36,36,23,0,94,97,2,37
2019-01-28,368,25,191,158,38,32,177,377,15,224
2019-01-29,123,20,59,55,24,2,109,124,13,68
2019-01-30,187,64,66,62,60,0,192,188,22,75
2019-01-02,201,23,102,103,39,0,267,201,16,88
2019-03-07,141,37,121,121,46,0,164,141,15,107
2019-01-03,167,16,67,64,33,0,185,163,8,58
2019-03-08,111,33,93,86,34,6,110,112,12,82
2019-01-04,143,25,58,55,40,1,161,143,9,43
2019-01-24,115,19,33,30,25,13,98,117,3,40
2019-01-25,134,29,51,47,39,6,131,135,3,60
2019-01-26,87,18,37,37,19,2,73,86,11,37
2019-01-27,101,29,77,67,27,11,90,101,9,91
2019-04-26,168,14,104,103,19,0,134,169,15,129
2019-04-27,80,19,54,53,15,0,82,82,8,55
2019-04-28,54,12,57,57,15,1,50,54,11,53
2019-05-15,375,28,243,240,40,0,485,376,31,238
